,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
153,The Wrath and the Dawn,Renée Ahdieh,2015,4.08,160669,8649,The Wrath and the Dawn,1.0
154,Serpent & Dove,Shelby Mahurin,2019,4.03,222248,8573,Serpent & Dove,1.0
155,Piranesi,Susanna Clarke,2020,4.25,174538,8556,,
156,The Song of Achilles,Madeline Miller,2011,4.38,959015,8465,,
157,His Majesty's Dragon,Naomi Novik,2006,4.05,90261,8464,Temeraire,1.0
158,Kingdom of Ash,Sarah J. Maas,2018,4.62,263286,8310,Throne of Glass,7.0
159,Vicious,V.E. Schwab,2013,4.23,175670,8301,Villains,1.0
160,King of Scars,Leigh Bardugo,2019,4.17,149027,8298,King of Scars,1.0
161,Fire,Kristin Cashore,2009,4.1,177047,8253,Graceling Realm,2.0
162,Ella Enchanted,Gail Carson Levine,1997,4.0,403183,8230,Ella Enchanted,1.0
163,The Path of Daggers,Robert Jordan,1998,3.92,128157,8125,The Wheel of Time,8.0
164,Oathbringer,Brandon Sanderson,2017,4.61,186335,8118,The Stormlight Archive,3.0
165,A Conjuring of Light,V.E. Schwab,2017,4.34,126977,8091,Shades of Magic,3.0
166,The Way of Shadows,Brent Weeks,2008,4.15,159692,8034,Night Angel,1.0
167,Tower of Dawn,Sarah J. Maas,2017,4.28,247922,8033,Throne of Glass,6.0
168,Sword of Destiny,Andrzej Sapkowski,1992,4.28,148795,7980,The Witcher,0.7
169,City of Heavenly Fire,Cassandra Clare,2014,4.4,350489,7980,The Mortal Instruments,6.0
170,Outlander,Diana Gabaldon,1991,4.25,958355,7885,Outlander,1.0
171,Scarlet,Marissa Meyer,2013,4.26,377707,7875,The Lunar Chronicles,2.0
172,The Assassin's Blade,Sarah J. Maas,2014,4.33,257128,7861,Throne of Glass,0.1
173,The Hundred Thousand Kingdoms,N.K. Jemisin,2010,3.89,67391,7852,Inheritance,1.0
174,Red Seas Under Red Skies,Scott Lynch,2007,4.24,130084,7840,Gentleman Bastard,2.0
175,Winter's Heart,Robert Jordan,2000,3.96,122407,7761,The Wheel of Time,9.0
176,Divergent,Veronica Roth,2011,4.16,3546937,7755,Divergent,1.0
177,The House of Hades,Rick Riordan,2013,4.55,347132,7725,The Heroes of Olympus,4.0
178,Before They Are Hanged,Joe Abercrombie,2007,4.32,143364,7711,The First Law,2.0
179,The Midnight Library,Matt Haig,2020,4.03,1133477,7681,,
180,Sorcery of Thorns,Margaret  Rogerson,2019,4.08,96872,7677,Sorcery of Thorns,1.0
181,Alanna: The First Adventure,Tamora Pierce,1983,4.26,125309,7654,Song of the Lioness,1.0
182,A Deadly Education,Naomi Novik,2020,4.01,104764,7585,The Scholomance,1.0
183,Norse Mythology,Neil Gaiman,2017,4.1,280180,7562,,
184,The Neverending Story,Michael Ende,1979,4.18,186511,7417,,
185,Prince of Thorns,Mark  Lawrence,2011,3.85,106671,7417,The Broken Empire,1.0
186,The Black Prism,Brent Weeks,2010,4.23,114320,7246,Lightbringer,1.0
187,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,1871,4.06,520533,7244,,
188,Pawn of Prophecy,David Eddings,1982,4.15,101408,7241,The Belgariad,1.0
189,To Kill a Kingdom,Alexandra Christo,2018,3.79,137364,7232,,
190,To Kill a Kingdom,Alexandra Christo,2018,3.79,137364,7230,,
191,The Wonderful Wizard of Oz,L. Frank Baum,1900,3.99,420764,7202,Oz,1.0
192,The Dream Thieves,Maggie Stiefvater,2013,4.23,182575,7196,The Raven Cycle,2.0
193,Crossroads of Twilight,Robert Jordan,2003,3.8,109147,7193,The Wheel of Time,10.0
194,The Golem and the Jinni,Helene Wecker,2013,4.12,115827,7192,The Golem and the Jinni,1.0
195,Wyrd Sisters,Terry Pratchett,1988,4.14,106963,7177,Discworld,6.0
196,The Thief,Megan Whalen Turner,1996,3.86,79565,7145,The Queen's Thief,1.0
197,Fool Moon,Jim Butcher,2001,3.99,182066,7137,The Dresden Files,2.0
198,The Obelisk Gate,N.K. Jemisin,2016,4.31,130766,7110,The Broken Earth,2.0
199,The Drawing of the Three,Stephen King,1987,4.23,240077,7073,The Dark Tower,2.0
200,Gideon the Ninth,Tamsyn Muir,2019,4.23,82846,7072,The Locked Tomb,1.0
201,The Tombs of Atuan,Ursula K. Le Guin,1970,4.11,104596,7045,Earthsea Cycle,2.0
202,The Red Pyramid,Rick Riordan,2010,4.1,366689,7036,The Kane Chronicles,1.0
203,Last Argument of Kings,Joe Abercrombie,2008,4.31,133596,7034,The First Law,3.0
204,Glass Sword,Victoria Aveyard,2016,3.83,296950,7029,Red Queen,2.0
