,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
381,Black Sun,Rebecca Roanhorse,2020,4.22,31807,4460,Between Earth and Sky,1.0
382,A Natural History of Dragons,Marie Brennan,2013,3.83,30477,4458,The Memoirs of Lady Trent,1.0
383,Blood Rites,Jim Butcher,2004,4.3,122530,4444,The Dresden Files,6.0
384,The Winter of the Witch,Katherine Arden,2019,4.5,62658,4441,The Winternight Trilogy,3.0
385,The Curse of Chalion,Lois McMaster Bujold,2001,4.16,37082,4441,World of the Five Gods,1.0
386,The Giver,Lois Lowry,1993,4.13,2177714,4422,The Giver,1.0
387,Monstrous Regiment,Terry Pratchett,2003,4.21,68296,4421,Discworld,31.0
388,Jingo,Terry Pratchett,1997,4.17,60942,4416,Discworld,21.0
389,The Throne of Fire,Rick Riordan,2011,4.19,191070,4414,The Kane Chronicles,2.0
390,The Alchemist,Paulo Coelho,1988,3.9,2640500,4403,,
391,The Dragon Republic,R.F. Kuang,2019,4.39,58536,4402,The Poppy War,2.0
392,The Dark Tower,Stephen King,2004,4.27,160924,4396,The Dark Tower,7.0
393,The Elfstones of Shannara,Terry Brooks,1982,3.97,69222,4377,The Original Shannara Trilogy,2.0
394,Scythe,Neal Shusterman,2016,4.33,227894,4372,Arc of a Scythe,1.0
395,Best Served Cold,Joe Abercrombie,2009,4.2,77859,4367,,
396,Legendary,Stephanie Garber,2018,4.23,126594,4350,Caraval,2.0
397,Legendary,Stephanie Garber,2018,4.23,126594,4350,Caraval,2.0
398,The Rithmatist,Brandon Sanderson,2013,4.24,61796,4330,The Rithmatist,1.0
399,The Book of Life,Deborah Harkness,2014,4.19,171828,4313,All Souls,3.0
400,A Winter's Promise,Christelle Dabos,2013,4.08,70491,4306,The Mirror Visitor ,1.0
401,The Goose Girl,Shannon Hale,2003,4.13,140314,4292,The Books of Bayern,1.0
402,Kings of the Wyld,Nicholas Eames,2017,4.29,39831,4290,The Band,1.0
403,Snow Like Ashes,Sara Raasch,2014,3.89,66189,4280,Snow Like Ashes,1.0
404,Girls of Paper and Fire,Natasha Ngan,2018,3.82,46166,4279,Girls of Paper and Fire,1.0
405,She Who Became the Sun,Shelley Parker-Chan,2021,3.91,36398,4277,The Radiant Emperor,1.0
406,A Hat Full of Sky,Terry Pratchett,2004,4.3,69995,4268,Discworld,32.0
407,Finnikin of the Rock,Melina Marchetta,2008,3.9,43813,4265,Lumatere Chronicles,1.0
408,Magyk,Angie Sage,2005,3.84,117255,4263,Septimus Heap,1.0
409,Darkfever,Karen Marie Moning,2006,4.06,173529,4262,Fever,1.0
410,Dead Beat,Jim Butcher,2005,4.41,118803,4260,The Dresden Files,7.0
411,Maskerade,Terry Pratchett,1995,4.1,58892,4257,Discworld,18.0
412,The Eternity Code,Eoin Colfer,2003,4.04,131801,4249,Artemis Fowl,3.0
413,The Darkest Part of the Forest,Holly Black,2015,3.87,67016,4247,,
414,Beyond the Shadows,Brent Weeks,2008,4.27,93850,4231,Night Angel,3.0
415,Making Money,Terry Pratchett,2007,4.24,66635,4225,Discworld,36.0
416,Temple of the Winds,Terry Goodkind,1998,4.02,78897,4205,Sword of Truth,4.0
417,"Saga, Volume 1",Brian K. Vaughan,2012,4.17,303187,4201,,
418,The Selection,Kiera Cass,2012,4.1,1308224,4191,The Selection,1.0
419,The Phantom Tollbooth,Norton Juster,1961,4.19,270574,4190,,
420,Down Among the Sticks and Bones,Seanan McGuire,2017,4.15,44078,4188,Wayward Children,2.0
421,Magic Bites,Ilona Andrews,2007,4.05,117851,4187,Kate Daniels,1.0
422,Moon Called,Patricia Briggs,2006,4.14,196106,4186,Mercy Thompson,1.0
423,Carpe Jugulum,Terry Pratchett,1998,4.15,59181,4183,Discworld,23.0
424,Throne of Jade,Naomi Novik,2006,3.88,44836,4181,Temeraire,2.0
425,The Rose & the Dagger,Renée Ahdieh,2016,4.06,85609,4172,The Wrath and the Dawn,2.0
426,The Eyes of the Dragon,Stephen King,1987,3.94,117334,4167,,
427,The Language of Thorns: Midnight Tales and Dangerous Magic,Leigh Bardugo,2017,4.33,49161,4119,Grishaverse,2.5
428,House of Salt and Sorrows,Erin A. Craig,2019,3.93,64527,4115,,
429,Spin the Dawn,Elizabeth Lim,2019,4.0,44901,4107,The Blood of Stars,1.0
430,How the King of Elfhame Learned to Hate Stories,Holly Black,2020,4.23,111160,4103,The Folk of the Air,3.5
431,House of Sky and Breath,Sarah J. Maas,2022,4.52,153949,4087,Crescent City,2.0
432,The Book of Lost Things,John Connolly,2006,3.95,75406,4085,,
433,The Bone Season,Samantha Shannon,2013,3.79,71678,4082,The Bone Season,1.0
434,Muse of Nightmares,Laini Taylor,2018,4.44,52512,4076,Strange the Dreamer,2.0
435,Perdido Street Station,China Miéville,2000,3.97,65458,4070,New Crobuzon,1.0
436,Proven Guilty,Jim Butcher,2006,4.39,113993,4059,The Dresden Files,8.0
437,A Reaper at the Gates,Sabaa Tahir,2018,4.19,75126,4050,An Ember in the Ashes,3.0
438,Rubinrot,Kerstin Gier,2009,4.12,138503,4032,Edelstein-Trilogie,1.0
439,A Knight of the Seven Kingdoms,George R.R. Martin,2013,4.21,76684,4021,The Tales of Dunk and Egg,1.0
440,The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente,2011,3.94,39694,4011,Fairyland,1.0
441,Fire Study,Maria V. Snyder,2008,3.92,60101,4011,Study,3.0
442,Red Rising,Pierce Brown,2014,4.26,311603,3996,Red Rising Saga,1.0
443,The Time Traveler's Wife,Audrey Niffenegger,2004,3.99,1704670,3989,,
444,Eon: Dragoneye Reborn,Alison Goodman,2008,3.95,60505,3986,Eon,1.0
445,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,1978,4.05,77680,3986,,
446,The Once and Future Witches,Alix E. Harrow,2020,4.07,58572,3982,,
447,Charlie and the Chocolate Factory,Roald Dahl,1964,4.15,778490,3980,Charlie Bucket,1.0
448,Wintersmith,Terry Pratchett,2006,4.23,58903,3974,Discworld,35.0
449,Radiance,Grace Draven,2015,4.03,50580,3970,Wraith Kings,1.0
450,Frostbite,Richelle Mead,2008,4.26,337917,3967,Vampire Academy,2.0
451,Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,2016,4.19,147281,3963,Fantastic Beasts: The Original Screenplay,1.0
452,Hounded,Kevin Hearne,2011,4.09,83604,3954,The Iron Druid Chronicles,1.0
453,Lord of Shadows,Cassandra Clare,2017,4.44,129228,3940,The Dark Artifices,2.0
454,The ​Crown of Gilded Bones,Jennifer L. Armentrout,2021,4.23,162163,3939,Blood and Ash,3.0
455,Under the Whispering Door,T.J. Klune,2021,4.19,103911,3933,,
456,Under the Whispering Door,T.J. Klune,2021,4.19,103911,3933,,
457,The Bridge Kingdom,Danielle L. Jensen,2018,4.09,75095,3930,The Bridge Kingdom,1.0
458,Castle in the Air,Diana Wynne Jones,1990,3.89,48716,3913,Howl's Moving Castle,2.0
459,Academ's Fury,Jim Butcher,2005,4.26,66979,3911,Codex Alera,2.0
460,Ready Player One,Ernest Cline,2011,4.24,1044462,3906,Ready Player One,1.0
461,White Night,Jim Butcher,2007,4.38,112646,3902,The Dresden Files,9.0
462,Deadhouse Gates,Steven Erikson,2000,4.25,65958,3900,Malazan Book of the Fallen,2.0
463,The Hero and the Crown,Robin McKinley,1984,4.21,51843,3899,Damar,2.0
464,The Novice,Trudi Canavan,2002,4.07,56634,3892,Black Magician Trilogy,2.0
465,The False Prince,Jennifer A. Nielsen,2012,4.22,87645,3890,Ascendance,1.0
466,The City We Became,N.K. Jemisin,2020,3.91,52754,3885,Great Cities,1.0
467,Furyborn,Claire Legrand,2018,3.83,39302,3879,Empirium,1.0
468,Nine Princes in Amber,Roger Zelazny,1970,4.06,54610,3875,The Chronicles of Amber ,1.0
469,Silverthorn,Raymond E. Feist,1985,4.1,60067,3863,The Riftwar Saga,3.0
470,Pani Jeziora,Andrzej Sapkowski,1999,4.12,64881,3862,Saga o Wiedźminie,5.0
471,Captive Prince,C.S. Pacat,2013,3.81,79334,3860,Captive Prince,1.0
472,Tehanu,Ursula K. Le Guin,1990,3.99,43869,3840,Earthsea Cycle,4.0
473,The Black Company,Glen Cook,1984,3.92,46041,3833,The Chronicles of the Black Company,1.0
474,The Opal Deception,Eoin Colfer,2005,4.05,135234,3807,Artemis Fowl,4.0
475,Cemetery Boys,Aiden Thomas,2020,4.33,63923,3803,Cemetery Boys,1.0
476,The Last Continent,Terry Pratchett,1998,3.99,54784,3799,Discworld,22.0
477,The School for Good and Evil,Soman Chainani,2013,4.02,91581,3775,The School for Good and Evil,1.0
478,The Golem's Eye,Jonathan Stroud,2004,4.1,89920,3775,Bartimaeus,2.0
479,Small Favor,Jim Butcher,2008,4.44,102730,3757,The Dresden Files,10.0
480,Guardians of the West,David Eddings,1987,4.1,52388,3740,The Malloreon,1.0
481,Living Dead in Dallas,Charlaine Harris,2002,3.96,245363,3734,Sookie Stackhouse,2.0
482,The Paper Magician,Charlie N. Holmberg,2014,3.67,78338,3730,The Paper Magician,1.0
483,Inkdeath,Cornelia Funke,2007,3.95,82435,3726,Inkworld,3.0
484,The High Lord,Trudi Canavan,2002,4.14,56113,3723,Black Magician Trilogy,3.0
485,The Dragon Keeper,Robin Hobb,2009,3.95,40950,3719,Rain Wild Chronicles,1.0
486,Wicked Lovely,Melissa Marr,2007,3.69,161717,3717,Wicked Lovely,1.0
487,The Serpent's Shadow,Rick Riordan,2012,4.29,146370,3715,The Kane Chronicles,3.0
488,Soul of the Fire,Terry Goodkind,1999,3.86,65268,3713,Sword of Truth,5.0
489,Snuff,Terry Pratchett,2011,4.16,54780,3713,Discworld,39.0
490,First Test,Tamora Pierce,1999,4.23,59222,3707,Protector of the Small,1.0
491,Marked,P.C. Cast,2007,3.8,469112,3699,House of Night,1.0
492,The Library at Mount Char,Scott  Hawkins,2015,4.09,43857,3682,,
493,Six Crimson Cranes,Elizabeth Lim,2021,4.28,36604,3663,Six Crimson Cranes,1.0
494,Shadow Kiss,Richelle Mead,2008,4.34,350519,3659,Vampire Academy,3.0
495,Turn Coat,Jim Butcher,2009,4.43,98387,3658,The Dresden Files,11.0
496,Daughter of the Blood,Anne Bishop,1998,4.06,38940,3657,The Black Jewels,1.0
497,Fire & Blood,George R.R. Martin,2018,3.95,57513,3649,A Targaryen History,1.0
498,Unseen Academicals,Terry Pratchett,2009,3.99,51956,3646,Discworld,37.0
499,A Storm of Swords 2: Blood and Gold,George R.R. Martin,2000,4.54,88367,3642,A Song of Ice and Fire,3.0
500,Faith of the Fallen,Terry Goodkind,2001,4.1,70371,3639,Sword of Truth,6.0
501,Library of Souls,Ransom Riggs,2015,4.14,140277,3626,Miss Peregrine's Peculiar Children,3.0
502,The Desert Spear,Peter V. Brett,2010,4.21,83544,3620,Demon Cycle,2.0
503,A Darkness At Sethanon,Raymond E. Feist,1986,4.18,64436,3605,The Riftwar Saga,4.0
504,Wayward Son,Rainbow Rowell,2019,3.94,91657,3599,Simon Snow,2.0
505,The Shadow of What Was Lost,James Islington,2014,4.14,40086,3587,The Licanius Trilogy,1.0
506,Dragons of Winter Night,Margaret Weis,1985,4.13,48644,3574,Dragonlance: Chronicles,2.0
507,Cursor's Fury,Jim Butcher,2006,4.35,64736,3571,Codex Alera,3.0
508,Changes,Jim Butcher,2010,4.5,108789,3570,The Dresden Files,12.0
509,Trickster's Choice,Tamora Pierce,2003,4.25,64730,3568,Daughter of the Lioness,1.0
510,The Wishsong of Shannara,Terry Brooks,1985,3.97,51911,3565,The Original Shannara Trilogy,3.0
511,Harry Potter Series Box Set,J.K. Rowling,2007,4.74,273411,3564,Harry Potter,1.0
512,Edgedancer,Brandon Sanderson,2017,4.26,68924,3557,The Stormlight Archive,2.5
513,Tithe,Holly Black,2002,3.71,89053,3555,Modern Faerie Tales,1.0
514,Daughter of the Moon Goddess,Sue Lynn Tan,2022,4.18,27745,3538,The Celestial Kingdom Duology,1.0
515,Animal Farm,George Orwell,1945,3.98,3390275,3531,,
516,The Empress of Salt and Fortune,Nghi Vo,2020,4.0,23794,3527,The Singing Hills Cycle,1.0
517,Exile,R.A. Salvatore,1990,4.22,61072,3516,Forgotten Realms: The Dark Elf Trilogy,2.0
518,The Queen of Attolia,Megan Whalen Turner,2000,4.17,43167,3506,The Queen's Thief,2.0
519,Wolf-Speaker,Tamora Pierce,1993,4.19,57046,3503,Immortals,2.0
520,The Black Cauldron,Lloyd Alexander,1965,4.11,63120,3495,The Chronicles of Prydain,2.0
521,Chain of Gold,Cassandra Clare,2020,4.44,80365,3494,The Last Hours,1.0
522,Green Rider,Kristen Britain,1998,4.07,36347,3493,Green Rider,1.0
523,War Storm,Victoria Aveyard,2018,3.85,129434,3492,Red Queen,4.0
524,Dragons of Spring Dawning,Margaret Weis,1985,4.12,55838,3487,Dragonlance: Chronicles,3.0
525,Fable,Adrienne Young,2020,4.07,63276,3484,Fable,1.0
526,Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,1980,3.98,36067,3473,,
527,I Shall Wear Midnight,Terry Pratchett,2010,4.33,52789,3472,Discworld,38.0
528,The Emperor's Blades,Brian Staveley,2014,4.08,38408,3471,Chronicle of the Unhewn Throne,1.0
529,Lord Foul's Bane,Stephen R. Donaldson,1977,3.72,46615,3465,The Chronicles of Thomas Covenant the Unbeliever,1.0
530,The Blinding Knife,Brent Weeks,2012,4.41,82126,3461,Lightbringer,2.0
531,The Kingdom of Copper,S.A. Chakraborty,2019,4.4,46827,3455,The Daevabad Trilogy,2.0
532,Emperor Mage,Tamora Pierce,1995,4.27,62283,3453,Immortals,3.0
533,Flame in the Mist,Renée Ahdieh,2017,3.86,44045,3451,Flame in the Mist,1.0
534,The Magician's Land,Lev Grossman,2014,4.14,72501,3446,The Magicians,3.0
535,Fairest,Marissa Meyer,2015,3.97,125574,3437,The Lunar Chronicles,3.5
536,Captain's Fury,Jim Butcher,2007,4.36,64070,3437,Codex Alera,4.0
537,Fool's Assassin,Robin Hobb,2014,4.4,49385,3434,The Fitz and the Fool,1.0
538,Fragile Things: Short Fictions and Wonders,Neil Gaiman,2006,3.96,67432,3431,,
539,"Over Sea, Under Stone",Susan Cooper,1965,3.85,50753,3428,The Dark is Rising,1.0
540,Allegiant,Veronica Roth,2013,3.61,962580,3426,Divergent,3.0
541,King of the Murgos,David Eddings,1988,4.1,54036,3416,The Malloreon,2.0
542,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,1998,4.02,69029,3412,,
543,The Gilded Ones,Namina Forna,2020,4.02,34132,3395,The Gilded Ones,1.0
544,Ptolemy's Gate,Jonathan Stroud,2005,4.27,83272,3388,Bartimaeus,3.0
545,The Lost Colony,Eoin Colfer,2006,4.01,153266,3386,Artemis Fowl,5.0
546,Rhapsodic,Laura Thalassa,2016,3.98,88415,3380,The Bargainer,1.0
547,Ghost Story,Jim Butcher,2011,4.25,92261,3380,The Dresden Files,13.0
548,Club Dead,Charlaine Harris,2003,4.01,229721,3375,Sookie Stackhouse,3.0
549,Arrows of the Queen,Mercedes Lackey,1987,4.13,36822,3370,Heralds of Valdemar,1.0
550,Air Awakens,Elise Kova,2015,4.01,43336,3367,Air Awakens,1.0
551,Interesting Times,Terry Pratchett,1994,4.14,50702,3366,Discworld,17.0
552,The Rage of Dragons,Evan Winter,2017,4.33,25376,3362,The Burning,1.0
553,Beneath the Sugar Sky,Seanan McGuire,2018,3.87,34044,3357,Wayward Children,3.0
554,Renegades,Marissa Meyer,2017,4.15,113914,3354,Renegades,1.0
555,Terrier,Tamora Pierce,2006,4.14,67344,3352,Beka Cooper,1.0
556,Blood Promise,Richelle Mead,2009,4.31,299438,3345,Vampire Academy,4.0
557,Finale,Stephanie Garber,2019,4.21,97901,3344,Caraval,3.0
558,Cold Days,Jim Butcher,2012,4.48,94413,3339,The Dresden Files,14.0
559,Magician: Master,Raymond E. Feist,1982,4.24,69807,3330,The Riftwar Saga,2.0
560,The Trials of Morrigan Crow,Jessica  Townsend,2017,4.34,53281,3316,Nevermoor,1.0
561,Sorceress of Darshiva,David Eddings,1989,4.09,45538,3309,The Malloreon,4.0
562,Ash Princess,Laura Sebastian,2018,3.89,55130,3305,Ash Princess Trilogy,1.0
563,Belgarath the Sorcerer,David Eddings,1995,4.09,74148,3305,,
564,The Maze Runner,James Dashner,2009,4.04,1328129,3303,The Maze Runner,1.0
565,A Wind in the Door,Madeleine L'Engle,1973,4.0,124636,3286,Time Quintet,2.0
566,Seeress of Kell,David Eddings,1991,4.13,44854,3285,The Malloreon,5.0
567,Dragonsong,Anne McCaffrey,1976,4.24,53559,3283,Harper Hall,1.0
568,Demon Lord of Karanda,David Eddings,1988,4.05,41661,3280,The Malloreon,3.0
569,The Pillars of Creation,Terry Goodkind,2002,3.69,57418,3278,Sword of Truth,7.0
570,Queen of Air and Darkness,Cassandra Clare,2018,4.35,96736,3277,The Dark Artifices,3.0
571,Dead to the World,Charlaine Harris,2004,4.12,253112,3263,Sookie Stackhouse,4.0
572,Magician,Raymond E. Feist,1982,4.31,64577,3260,The Riftwar Saga,1.0
573,Sojourn,R.A. Salvatore,1991,4.21,63305,3252,Forgotten Realms: The Dark Elf Trilogy,3.0
574,Black Powder War,Naomi Novik,2006,3.89,35792,3252,Temeraire,3.0
575,Princess Academy,Shannon Hale,2005,4.02,112747,3249,Princess Academy,1.0
576,Malice,John Gwynne,2012,4.15,26284,3237,The Faithful and the Fallen,1.0
577,King of Thorns,Mark  Lawrence,2012,4.19,61864,3226,The Broken Empire,2.0
578,Senlin Ascends,Josiah Bancroft,2013,4.14,24302,3217,The Books of Babel,1.0
579,Ender's Game,Orson Scott Card,1985,4.3,1273750,3203,Ender's Saga,1.0
580,The Crystal Shard,R.A. Salvatore,1988,4.11,52393,3198,Forgotten Realms: Icewind Dale,1.0
581,The Dark Is Rising,Susan Cooper,1973,4.05,53642,3187,The Dark is Rising,2.0
582,Tuck Everlasting,Natalie Babbitt,1975,3.89,257210,3176,,
583,Once Upon a Broken Heart,Stephanie Garber,2021,4.15,60495,3173,Once Upon a Broken Heart,1.0
584,The Bone Shard Daughter,Andrea Stewart,2020,4.05,17823,3166,The Drowning Empire,1.0
585,The Heroes,Joe Abercrombie,2011,4.32,52427,3162,First Law World,5.0
586,The Iron Daughter,Julie Kagawa,2010,4.08,124096,3143,The Iron Fey,2.0
587,A Touch of Darkness,Scarlett St.  Clair,2019,3.85,144945,3133,Hades & Persephone,1.0
588,Obsidian,Jennifer L. Armentrout,2011,4.15,267366,3130,Lux,1.0
589,The Amazing Maurice and His Educated Rodents,Terry Pratchett,2001,4.05,44406,3124,Discworld,28.0
590,Memories of Ice,Steven Erikson,2001,4.44,51848,3123,Malazan Book of the Fallen,3.0
591,The Last Graduate,Naomi Novik,2021,4.31,55239,3120,The Scholomance,2.0
592,The Burning God,R.F. Kuang,2020,4.34,40749,3120,The Poppy War,3.0
593,The Iron Trial,Holly Black,2014,3.95,70465,3120,Magisterium,1.0
594,Age of Myth,Michael J. Sullivan,2016,4.23,31058,3115,The Legends of the First Empire,1.0
595,Matilda,Roald Dahl,1988,4.33,825760,3111,,
596,Akata Witch,Nnedi Okorafor,2011,4.05,30802,3109,The Nsibidi Scripts,1.0
597,The Broken Kingdoms,N.K. Jemisin,2010,4.13,31441,3101,Inheritance,2.0
598,A Spell for Chameleon,Piers Anthony,1977,3.91,44871,3101,Xanth,1.0
599,Squire,Tamora Pierce,2001,4.29,51542,3099,Protector of the Small,3.0
600,The Star-Touched Queen,Roshani Chokshi,2016,3.56,25381,3095,The Star-Touched Queen,1.0
601,Lore,Alexandra Bracken,2021,3.8,64190,3086,,
602,The Hammer of Thor,Rick Riordan,2016,4.33,94104,3083,Magnus Chase and the Gods of Asgard,2.0
603,"Monstress, Vol. 1: Awakening",Marjorie M. Liu,2016,3.96,56630,3076,,
604,Gregor the Overlander,Suzanne Collins,2003,4.02,99637,3075,Underland Chronicles,1.0
605,Luck in the Shadows,Lynn Flewelling,1996,4.09,20223,3072,Nightrunner,1.0
606,The Rook,Daniel O'Malley,2012,4.11,54163,3071,The Checquy Files,1.0
607,The Invasion of the Tearling,Erika Johansen,2015,4.1,51010,3068,The Queen of the Tearling,2.0
608,Page,Tamora Pierce,2000,4.24,48025,3054,Protector of the Small,2.0
609,Spirit Bound,Richelle Mead,2010,4.33,281944,3054,Vampire Academy,5.0
610,House of Many Ways,Diana Wynne Jones,2008,4.06,34846,3044,Howl's Moving Castle,3.0
611,Stone of Farewell,Tad Williams,1990,4.09,46800,3038,MemorySorrowand Thorn,2.0
612,Touch of Power,Maria V. Snyder,2011,4.13,44516,3035,Healer,1.0
613,The BFG,Roald Dahl,1982,4.22,442100,3027,,
614,Dragonfly in Amber,Diana Gabaldon,1992,4.33,327443,3023,Outlander,2.0
615,Written in Red,Anne Bishop,2013,4.25,57218,3016,The Others,1.0
616,Kushiel's Chosen,Jacqueline Carey,2002,4.28,38734,3015,Phèdre's Trilogy,2.0
617,The Sleeper and the Spindle,Neil Gaiman,2013,3.89,46820,3014,,
618,A Promise of Fire,Amanda Bouchet,2016,4.04,32578,3010,Kingmaker Chronicles,1.0
619,Trickster's Queen,Tamora Pierce,2004,4.27,58574,3009,Daughter of the Lioness,2.0
620,The Doll's House,Neil Gaiman,1990,4.44,95743,3008,The Sandman,2.0
621,Middlegame,Seanan McGuire,2019,4.03,24255,2999,Alchemical Journeys,1.0
622,Naked Empire,Terry Goodkind,2004,3.82,52579,2999,Sword of Truth,8.0
623,Alice in Wonderland,Jane Carruth,1865,4.03,384872,2993,,
624,Life of Pi,Yann Martel,2001,3.93,1509085,2989,,
625,All the Birds in the Sky,Charlie Jane Anders,2016,3.59,42943,2982,All the Birds in the Sky,1.0
626,Dead as a Doornail,Charlaine Harris,2005,4.0,212247,2982,Sookie Stackhouse,5.0
627,Lady Knight,Tamora Pierce,2002,4.31,51662,2981,Protector of the Small,4.0
628,The Stand,Stephen King,1978,4.34,702231,2972,,
629,Last Sacrifice,Richelle Mead,2010,4.37,275513,2969,Vampire Academy,6.0
630,Dragonquest,Anne McCaffrey,1971,4.08,47898,2955,Dragonriders of Pern,2.0
631,The Summer Tree,Guy Gavriel Kay,1984,3.98,23073,2950,The Fionavar Tapestry ,1.0
632,The Jasmine Throne,Tasha Suri,2021,4.2,13790,2940,The Burning Kingdoms,1.0
633,The Bone Witch,Rin Chupeco,2017,3.71,30378,2935,The Bone Witch,1.0
634,James and the Giant Peach,Roald Dahl,1961,4.02,437414,2935,,
635,Daughter of the Empire,Raymond E. Feist,1987,4.28,35615,2934,The Empire Trilogy,1.0
636,The Heart of Betrayal,Mary E. Pearson,2015,4.22,63808,2926,The Remnant Chronicles,2.0
637,The Winner's Crime,Marie Rutkoski,2015,4.1,62445,2924,The Winner's Trilogy,2.0
638,Iron Widow,Xiran Jay Zhao,2021,4.17,45554,2917,Iron Widow,1.0
639,The Short Second Life of Bree Tanner,Stephenie Meyer,2009,3.51,205201,2917,,
640,The Killing Moon,N.K. Jemisin,2012,3.94,17470,2906,Dreamblood,1.0
641,Sandry's Book,Tamora Pierce,1997,4.01,42078,2902,Circle of Magic,1.0
642,The Binding,Bridget Collins,2019,3.87,62460,2901,,
643,Hex Hall,Rachel Hawkins,2010,3.92,139982,2897,Hex Hall,1.0
644,The Buried Giant,Kazuo Ishiguro,2015,3.55,90890,2895,,
645,The Deep,Rivers Solomon,2019,3.79,25388,2891,,
646,Rebel Angels,Libba Bray,2004,3.94,109195,2886,Gemma Doyle,2.0
647,Godsgrave,Jay Kristoff,2017,4.48,48131,2883,The Nevernight Chronicle,2.0
648,Sky in the Deep,Adrienne Young,2018,3.96,53019,2881,Sky and Sea,1.0
649,The Crystal Cave,Mary  Stewart,1970,4.14,44195,2879,Arthurian Saga,1.0
650,"Black Leopard, Red Wolf",Marlon James,2019,3.44,23527,2873,The Dark Star Trilogy,1.0
651,Definitely Dead,Charlaine Harris,2006,4.01,198686,2848,Sookie Stackhouse,6.0
652,The Burning Bridge,John Flanagan,2005,4.31,115469,2843,Ranger's Apprentice,2.0
653,The Witches,Roald Dahl,1983,4.17,367076,2841,,
654,The Rose Society,Marie Lu,2015,4.04,59584,2841,The Young Elites,2.0
655,The Time Paradox,Eoin Colfer,2008,4.08,87498,2835,Artemis Fowl ,6.0
656,The High King,Lloyd Alexander,1968,4.24,53464,2828,The Chronicles of Prydain,5.0
657,Prince of Fools,Mark  Lawrence,2014,4.06,30231,2824,The Red Queen's War,1.0
658,Skin Game,Jim Butcher,2014,4.56,79428,2822,The Dresden Files,15.0
659,The King of Attolia,Megan Whalen Turner,2006,4.38,37089,2816,The Queen's Thief,3.0
660,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,2015,3.92,57459,2816,,
661,"Girl, Serpent, Thorn",Melissa Bashardoust,2020,3.68,28587,2815,,
662,Ink and Bone,Rachel Caine,2015,3.97,26861,2814,The Great Library,1.0
663,Chainfire,Terry Goodkind,2005,3.94,50847,2807,Sword of Truth,9.0
664,Dorothy Must Die,Danielle  Paige,2014,3.81,76883,2799,Dorothy Must Die,1.0
665,Traitor's Blade,Sebastien de Castell,2014,4.05,20621,2793,Greatcoats,1.0
666,Wildwood Dancing,Juliet Marillier,2006,4.1,28700,2790,Wildwood,1.0
667,Gallant,V.E. Schwab,2022,3.8,52466,2786,,
668,For the Wolf,Hannah F. Whitten,2021,3.66,26458,2783,Wilderwood ,1.0
669,Vengeful,V.E. Schwab,2018,4.19,68923,2779,Villains,2.0
670,The Witch's Heart,Genevieve Gornichec,2021,4.07,31750,2774,,
671,In an Absent Dream,Seanan McGuire,2019,4.17,26803,2762,Wayward Children,4.0
672,Moon Over Soho,Ben Aaronovitch,2011,4.09,57464,2759,Rivers of London,2.0
673,The Diamond Throne,David Eddings,1989,3.97,33937,2757,The Elenium,1.0
674,Children of Virtue and Vengeance,Tomi Adeyemi,2019,3.87,56766,2756,Legacy of Orïsha,2.0
675,Season of Storms,Andrzej Sapkowski,2013,3.96,42251,2754,The Witcher,0.0
676,The Tale of Despereaux,Kate DiCamillo,2003,4.05,184626,2752,,
677,The Two Princesses of Bamarre,Gail Carson Levine,2001,4.05,70464,2752,The Two Princesses of Bamarre,1.0
678,The Picture of Dorian Gray,Oscar Wilde,1890,4.11,1268108,2747,,
679,Fairest,Gail Carson Levine,2006,3.89,64412,2745,,
680,Blood & Honey,Shelby Mahurin,2020,3.56,82424,2744,Serpent & Dove,2.0
681,Beastly,Alex Flinn,2007,3.83,174773,2738,Beastly,1.0
682,The Field Guide,Tony DiTerlizzi,2003,3.91,83839,2738,The Spiderwick Chronicles,1.0
683,Dragon Haven,Robin Hobb,2010,4.11,31969,2737,Rain Wild Chronicles,2.0
684,The Aeronaut's Windlass,Jim Butcher,2015,4.18,39636,2737,The Cinder Spires,1.0
685,A Swiftly Tilting Planet,Madeleine L'Engle,1978,4.08,106298,2728,Time Quintet,3.0
686,Midnight Sun,Stephenie Meyer,2020,3.72,195562,2724,,
687,Something Wicked This Way Comes,Ray Bradbury,1962,3.92,117115,2723,Green Town,2.0
688,All Together Dead,Charlaine Harris,2007,4.05,195801,2711,Sookie Stackhouse,7.0
689,Rise of Empire,Michael J. Sullivan,2010,4.36,46578,2710,The Riyria Revelations,3.0
690,A Deal with the Elf King,Elise Kova,2020,3.76,62528,2706,Married to Magic,1.0
691,The White Dragon,Anne McCaffrey,1978,4.19,45274,2706,Dragonriders of Pern,3.0
692,The Bane Chronicles,Cassandra Clare,2014,4.11,89322,2705,,
693,Raybearer,Jordan Ifueko,2020,4.39,20140,2704,Raybearer,1.0
694,The Grace of Kings,Ken Liu,2015,3.75,15663,2704,The Dandelion Dynasty,1.0
