,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
345,The Testaments,Margaret Atwood,2019,4.2,305440,1051,The Handmaid's Tale,2
346,I Have No Mouth and I Must Scream,Harlan Ellison,1967,3.9,28557,1050,,
347,Wool,Hugh Howey,2011,4.12,81120,1050,Wool,1
348,Life As We Knew It,Susan Beth Pfeffer,2006,3.88,124275,1050,Last Survivors,1
349,The Ringworld Engineers,Larry Niven,1979,3.87,31056,1045,Ringworld,2
350,Prodigy,Marie Lu,2013,4.24,241495,1043,Legend,2
351,Chasm City,Alastair Reynolds,2001,4.13,23312,1039,,
352,Fortune's Pawn,Rachel Bach,2013,3.94,14653,1038,Paradox ,1
353,Only Human,Sylvain Neuvel,2018,3.63,27866,1034,Themis Files,3
354,VALIS,Philip K. Dick,1981,3.92,27654,1033,,
355,Redemption Ark,Alastair Reynolds,2002,4.15,27316,1028,Revelation Space,2
356,The Consuming Fire,John Scalzi,2018,4.21,27398,1026,The Interdependency,2
357,Feed,Mira Grant,2010,3.85,56089,1025,Newsflesh,1
358,Friday,Robert A. Heinlein,1982,3.84,28574,1024,,
359,The Puppet Masters,Robert A. Heinlein,1951,3.88,31736,1023,,
360,"Saga, Volume 6",Brian K. Vaughan,2016,4.47,48940,1022,,
361,The Dreaming Void,Peter F. Hamilton,2007,4.18,26571,1017,,
362,For We Are Many,Dennis E. Taylor,2017,4.37,46695,1017,Bobiverse,2
363,The Kaiju Preservation Society,John Scalzi,2022,4.08,22354,1015,,
364,Provenance,Ann Leckie,2017,3.83,16630,1015,,
365,Daemon,Daniel Suarez,2006,4.16,44016,1014,Daemon,1
366,The Honor of the Queen,David Weber,1993,4.22,27516,1013,Honor Harrington,2
367,Falling Free,Lois McMaster Bujold,1988,3.84,20231,1007,Vorkosigan Saga,4
368,I Am Legend and Other Stories,Richard Matheson,1954,4.0,126376,1000,,
369,Monsters of Men,Patrick Ness,2010,4.22,81079,992,Chaos Walking,3
370,The Children of Men,P.D. James,1992,3.68,44420,981,,
371,The Currents of Space,Isaac Asimov,1952,3.84,17750,979,Galactic Empire,2
372,Gathering Blue,Lois Lowry,2000,3.82,177967,972,The Giver,2
373,The Kill Order,James Dashner,2012,3.71,204092,972,The Maze Runner,0.4
374,"The Galaxy, and the Ground Within",Becky  Chambers,2021,4.42,20533,971,Wayfarers,4
375,Pines,Blake Crouch,2012,3.94,104405,971,Wayward Pines,1
376,Winter's Orbit,Everina Maxwell,2021,4.03,16193,964,,
377,Ship Breaker,Paolo Bacigalupi,2010,3.75,43660,964,Ship Breaker,1
378,More Than Human,Theodore Sturgeon,1953,3.95,17256,960,,
379,Matter,Iain M. Banks,2008,4.09,25944,960,Culture,8
380,More Than This,Patrick Ness,2013,3.96,60356,956,,
381,Something Wicked This Way Comes,Ray Bradbury,1962,3.92,117104,956,Green Town,2
382,Blindness,José Saramago,1996,4.16,251452,952,,
383,Rosewater,Tade Thompson,2017,3.76,12966,952,The Wormwood Trilogy,1
384,Look to Windward,Iain M. Banks,2000,4.21,25178,952,Culture,7
385,Cetaganda,Lois McMaster Bujold,1995,4.17,18834,952,Vorkosigan Saga,9
386,Iron Widow,Xiran Jay Zhao,2021,4.17,45518,951,Iron Widow,1
387,The Power of Six,Pittacus Lore,2011,4.15,132133,948,Lorien Legacies,2
388,Grimspace,Ann Aguirre,2008,3.74,15309,943,Sirantha Jax,1
389,The Midwich Cuckoos,John Wyndham,1957,3.92,22384,942,,
390,Firefight,Brandon Sanderson,2015,4.26,93378,942,The Reckoners,2
391,The Eyre Affair,Jasper Fforde,2001,3.88,128957,940,Thursday Next,1
392,Upgrade,Blake Crouch,2022,3.87,36882,938,,
393,Leviathan Falls,James S.A. Corey,2021,4.54,35628,936,The Expanse,9
394,Stand on Zanzibar,John Brunner,1968,3.94,15985,936,,
395,Under the Never Sky,Veronica Rossi,2011,3.99,113270,934,Under the Never Sky,1
396,Crossed,Ally Condie,2011,3.52,234025,933,Matched,2
397,The Toll,Neal Shusterman,2019,4.21,87885,929,Arc of a Scythe,3
398,When You Reach Me,Rebecca Stead,2009,4.08,104926,929,,
399,Around the World in Eighty Days,Jules Verne,1872,3.94,221747,928,,
400,Wild Seed,Octavia E. Butler,1980,4.21,28826,927,Patternmaster,1
401,A Swiftly Tilting Planet,Madeleine L'Engle,1978,4.08,106346,927,Time Quintet,3
402,The Android's Dream,John Scalzi,2006,3.98,20676,926,,
403,The Lost World,Arthur Conan Doyle,1912,3.93,62635,923,Professor Challenger ,1
404,Children of Ruin,Adrian Tchaikovsky,2019,4.06,25503,921,Children of Time,2
405,The Adoration of Jenna Fox,Mary E. Pearson,2008,3.69,50952,916,Jenna Fox Chronicles,1
406,A Million Suns,Beth Revis,2012,4.01,53451,915,Across the Universe,2
407,The Echo Wife,Sarah Gailey,2021,3.63,25094,912,,
408,Just One Damned Thing After Another,Jodi Taylor,2013,3.88,39420,911,The Chronicles of St Mary's,1
409,Space Opera,Catherynne M. Valente,2018,3.47,14253,908,,
410,Axiom's End,Lindsay  Ellis,2020,3.74,19728,904,Noumena,1
411,The Algebraist,Iain M. Banks,2004,4.03,21081,904,,
412,The Night Masquerade,Nnedi Okorafor,2018,4.02,19100,898,Binti,3
413,City,Clifford D. Simak,1952,4.08,15977,898,,
414,Woken Furies,Richard K. Morgan,2005,4.02,28808,897,Takeshi Kovacs,3
415,Double Star,Robert A. Heinlein,1956,3.91,21792,896,,
416,Downbelow Station,C.J. Cherryh,1981,3.9,14860,894,The Company Wars,1
417,Obsidian,Jennifer L. Armentrout,2011,4.15,267410,894,Lux,1
418,Mirror Dance,Lois McMaster Bujold,1994,4.31,21024,891,Vorkosigan Saga,8
419,Breakfast of Champions,Kurt Vonnegut Jr.,1973,4.07,243832,889,,
420,Brothers in Arms,Lois McMaster Bujold,1989,4.19,17024,888,Vorkosigan Saga,5
421,City of Golden Shadow,Tad Williams,1996,3.92,26631,885,Otherland,1
422,Earth Abides,George R. Stewart,1949,3.95,27886,884,,
423,The Minority Report,Philip K. Dick,1956,3.84,20920,882,,
424,Nexus,Ramez Naam,2012,4.04,19426,881,Nexus,1
425,A Civil Campaign,Lois McMaster Bujold,1999,4.4,18139,881,Vorkosigan Saga,12
426,Accelerando,Charles Stross,2005,3.88,20513,881,,
427,The Selection,Kiera Cass,2012,4.1,1308131,880,The Selection,1
428,Memory,Lois McMaster Bujold,1996,4.42,17608,878,Vorkosigan Saga,10
429,Harrow the Ninth,Tamsyn Muir,2020,4.29,38935,874,The Locked Tomb,2
430,"Saga, Volume 7",Brian K. Vaughan,2017,4.48,41255,874,,
431,Surface Detail,Iain M. Banks,2010,4.25,26301,873,Culture ,9
432,All These Worlds,Dennis E. Taylor,2017,4.41,41054,871,Bobiverse,3
433,The Last Star,Rick Yancey,2016,3.62,68574,871,The 5th Wave,3
434,Replay,Ken Grimwood,1987,4.15,35685,870,,
435,Wildcard,Marie Lu,2018,4.0,47826,868,Warcross,2
436,Champion,Marie Lu,2013,4.33,199982,867,Legend,3
437,The Paper Menagerie and Other Stories,Ken Liu,2016,4.37,25325,866,,
438,The Ship Who Sang,Anne McCaffrey,1969,4.03,24710,866,Brainship,1
439,The Peripheral,William Gibson,2014,3.93,22566,864,,
440,The Age of Miracles,Karen Thompson Walker,2012,3.66,90271,863,,
441,1Q84,Haruki Murakami,2009,3.93,236976,862,1Q84,1
442,Pushing Ice,Alastair Reynolds,2005,4.06,17358,860,,
443,How to Live Safely in a Science Fictional Universe,Charles Yu,2010,3.44,16704,858,,
444,The Difference Engine,William Gibson,1990,3.46,21149,858,,
445,The Uplift War,David Brin,1987,4.07,25882,857,The Uplift Saga,3
446,Carve the Mark,Veronica Roth,2017,3.78,79742,857,Carve the Mark,1
447,The Fold,Peter Clines,2015,3.87,28716,856,Threshold,2
448,All Clear,Connie Willis,2010,4.07,19332,855,All Clear,2
449,Virtual Light,William Gibson,1993,3.86,24292,854,Bridge,1
450,Dragonquest,Anne McCaffrey,1971,4.08,47931,853,Dragonriders of Pern,2
451,The Book of Strange New Things,Michel Faber,2014,3.66,30009,853,,
452,Absolution Gap,Alastair Reynolds,2003,4.01,20974,853,Revelation Space,3
453,A Desolation Called Peace,Arkady Martine,2021,4.35,17532,852,Teixcalaan,2
454,Vengeful,V.E. Schwab,2018,4.19,68901,850,Villains,2
455,Next,Michael Crichton,2006,3.52,70292,845,,
456,Boneshaker,Cherie Priest,2009,3.52,32833,842,The Clockwork Century,1
457,Adulthood Rites,Octavia E. Butler,1988,4.18,18408,839,Xenogenesis,2
458,Head On,John Scalzi,2018,4.0,20326,837,Lock In,2
459,The End of All Things,John Scalzi,2015,3.98,21396,837,Old Man's War,6
460,The Butcher of Anderson Station,James S.A. Corey,2011,3.99,19061,837,The Expanse,1.5
461,Fantastic Voyage,Isaac Asimov,1966,3.91,26964,836,,
462,Nemesis,Isaac Asimov,1989,3.8,16615,834,,
463,The Rise and Fall of D.O.D.O.,Neal Stephenson,2017,3.86,29184,833,D.O.D.O. ,1
464,The Cat Who Walks Through Walls,Robert A. Heinlein,1985,3.71,22482,833,,
465,The Hydrogen Sonata,Iain M. Banks,2012,4.19,21943,832,Culture ,10
466,All Our Wrong Todays,Elan Mastai,2017,3.75,25653,831,,
467,CryoBurn,Lois McMaster Bujold,2010,4.06,15124,831,Vorkosigan Saga,14
468,Ethan of Athos,Lois McMaster Bujold,1986,3.79,14882,831,Vorkosigan Saga,3
469,Artemis Fowl,Eoin Colfer,2001,3.86,532048,827,Artemis Fowl,1
470,Gods of Risk,James S.A. Corey,2012,3.72,18644,826,The Expanse,2.5
471,The White Dragon,Anne McCaffrey,1978,4.19,45275,826,Dragonriders of Pern,3
472,Dhalgren,Samuel R. Delany,1975,3.77,10640,825,,
473,Red Queen,Victoria Aveyard,2015,4.03,835752,821,Red Queen,1
474,We Are the Ants,Shaun David Hutchinson,2016,4.14,42526,820,,
475,"Alas, Babylon",Pat Frank,1959,4.08,43060,819,,
476,Planetfall,Emma Newman,2015,3.72,10831,818,Planetfall,1
477,The Churn,James S.A. Corey,2014,4.09,20745,817,The Expanse,3.5
478,Autonomous,Annalee Newitz,2017,3.58,15153,814,,
479,The 100,Kass Morgan,2013,3.57,66315,814,The 100,1
480,Lexicon,Max Barry,2013,3.91,35575,813,,
481,Komarr,Lois McMaster Bujold,1998,4.28,16435,812,Vorkosigan Saga,11
482,The Water Knife,Paolo Bacigalupi,2015,3.84,23952,811,,
483,Rocannon's World,Ursula K. Le Guin,1966,3.77,16755,810,Hainish Cycle,1
484,Reamde,Neal Stephenson,2011,3.99,53503,809,,
485,The Short Victorious War,David Weber,1994,4.17,22531,809,Honor Harrington,3
486,Light from Uncommon Stars,Ryka Aoki,2021,4.11,12857,806,,
487,Tau Zero,Poul Anderson,1970,3.84,13433,804,,
488,Captain Vorpatril's Alliance,Lois McMaster Bujold,2012,4.2,15242,801,Vorkosigan Saga,15
489,The Butlerian Jihad,Brian Herbert,2002,3.84,38354,800,Legends of Dune,1
490,Partials,Dan Wells,2012,3.93,57759,797,Partials Sequence,1
491,The Last Emperox,John Scalzi,2020,4.11,22763,796,The Interdependency,3
492,Diplomatic Immunity,Lois McMaster Bujold,2002,4.18,15422,794,Vorkosigan Saga,13
493,The Garden of Rama,Arthur C. Clarke,1991,3.79,24014,794,Rama,3
494,The Songs of Distant Earth,Arthur C. Clarke,1986,3.91,15010,793,,
495,From the Earth to the Moon,Jules Verne,1865,3.77,29417,789,,
496,Idoru,William Gibson,1996,3.82,22858,785,Bridge ,2
497,Trading in Danger,Elizabeth Moon,2003,3.99,14452,783,Vatta's War,1
498,House Atreides,Brian Herbert,1999,3.79,25291,782,Prelude to Dune,1
499,The Dispatcher,John Scalzi,2016,3.99,26843,778,The Dispatcher ,1
500,The Prefect,Alastair Reynolds,2007,4.15,18029,773,Prefect Dreyfus Emergency,1
501,Darwin's Radio,Greg Bear,1999,3.72,15131,773,Darwin's Radio ,1
502,Lilith's Brood,Octavia E. Butler,1987,4.37,17938,770,Xenogenesis,1
503,Thrawn,Timothy Zahn,2017,4.29,38881,769,Star Wars: Thrawn,1
504,Rainbows End,Vernor Vinge,2006,3.77,17617,768,,
505,And Another Thing...,Eoin Colfer,2009,3.56,30183,766,Hitchhiker's Guide to the Galaxy,6
506,The Memory Police,Yōko Ogawa,1994,3.75,60014,765,,
507,Severance,Ling  Ma,2018,3.91,66725,765,,
508,The Complete Robot,Isaac Asimov,1982,4.32,16441,765,,
509,Emergency Skin,N.K. Jemisin,2019,4.05,22258,763,,
510,Dragonsong,Anne McCaffrey,1976,4.24,53606,762,Harper Hall,1
511,Blood Music,Greg Bear,1985,3.82,12637,760,,
512,All You Need Is Kill,Hiroshi Sakurazaka,2004,4.03,20394,759,,
513,Inversions,Iain M. Banks,1998,3.93,16827,758,Culture,6
514,"Saga, Volume 8",Brian K. Vaughan,2017,4.46,33212,753,,
515,The Drowned World,J.G. Ballard,1962,3.51,18887,752,,
516,Dragonsdawn,Anne McCaffrey,1988,4.21,37173,751,Pern,9
517,V for Vendetta,Alan Moore,1990,4.26,294503,748,,
518,Four: A Divergent Story Collection,Veronica Roth,2014,3.99,200393,747,Divergent,0.1
519,Anthem,Ayn Rand,1938,3.62,145053,746,,
520,The Rise of Nine,Pittacus Lore,2012,4.17,103277,742,Lorien Legacies,3
521,The Atrocity Archives,Charles Stross,2004,3.9,24240,742,Laundry Files,1
522,The First Men in the Moon,H.G. Wells,1901,3.66,14789,741,,
523,Foreigner,C.J. Cherryh,1994,3.92,9722,739,Foreigner,1
524,Citizen of the Galaxy,Robert A. Heinlein,1957,4.0,16160,737,,
525,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,1982,3.54,22321,737,,
526,Outlander,Diana Gabaldon,1991,4.25,958356,734,Outlander,1
527,Bloodchild and Other Stories,Octavia E. Butler,1995,4.36,18489,732,,
528,Aftermath,Chuck Wendig,2015,3.28,30245,730,Star Wars: Aftermath,1
529,The Institute,Stephen King,2019,4.2,211880,726,,
530,Remote Control,Nnedi Okorafor,2021,3.87,13015,726,,
531,New York 2140,Kim Stanley Robinson,2017,3.57,12436,726,,
532,The State of the Art,Iain M. Banks,1991,3.84,16069,726,Culture,4
533,The Test,Sylvain Neuvel,2019,3.85,17318,723,,
534,The Shadow of the Torturer,Gene Wolfe,1980,3.81,24955,723,The Book of the New Sun ,1
535,The Gods of Mars,Edgar Rice Burroughs,1913,3.88,18222,722,Barsoom ,2
536,Great North Road,Peter F. Hamilton,2012,4.07,16493,722,,
537,The Twelve,Justin Cronin,2012,4.01,94352,722,The Passage,2
538,Semiosis,Sue Burke,2018,3.91,10952,721,Semiosis Duology,1
539,Reached,Ally Condie,2012,3.55,157492,720,Matched,3
540,The City in the Middle of the Night,Charlie Jane Anders,2019,3.51,10314,719,,
541,Shades of Earth,Beth Revis,2013,4.07,32840,719,Across the Universe,3
542,Grass,Sheri S. Tepper,1989,4.03,11890,717,Arbai ,1
543,How High We Go in the Dark,Sequoia Nagamatsu,2022,3.89,18840,717,,
544,Messenger,Lois Lowry,2004,3.91,126527,717,The Giver,3
545,The Temporal Void,Peter F. Hamilton,2008,4.24,22245,714,,
546,The Running Man,Stephen King,1982,3.89,118291,713,,
547,The Long War,Terry Pratchett,2013,3.63,23472,713,The Long Earth,2
548,Forever Peace,Joe Haldeman,1997,3.75,20278,713,The Forever War,2
549,Children of God,Mary Doria Russell,1998,4.08,19570,713,The Sparrow,2
550,Calamity,Brandon Sanderson,2016,4.18,72982,711,Reckoners,3
551,Field of Dishonor,David Weber,1994,4.21,20297,710,Honor Harrington,4
552,Imago,Octavia E. Butler,1989,4.21,16100,707,Xenogenesis,3
553,The Subtle Knife,Philip Pullman,1997,4.14,410814,706,His Dark Materials,2
554,Olympos,Dan Simmons,2005,3.94,18081,704,Ilium,2
555,Dragonsinger,Anne McCaffrey,1977,4.29,44157,704,Harper Hall,2
556,Footfall,Larry Niven,1985,3.92,16166,704,,
557,Brave New World / Brave New World Revisited,Aldous Huxley,1958,4.16,156151,702,,
558,Among the Hidden,Margaret Peterson Haddix,1998,3.99,119663,697,Shadow Children,1
559,The Last Question,Isaac Asimov,1956,4.56,22443,696,,
560,Terms of Enlistment,Marko Kloos,2013,4.03,27954,695,Frontlines,1
561,Unravel Me,Tahereh Mafi,2013,4.18,313351,694,Shatter Me,2
562,Pandemonium,Lauren Oliver,2012,4.04,231640,694,Delirium,2
563,Flashforward,Robert J. Sawyer,1999,3.64,15316,694,,
564,Singularity Sky,Charles Stross,2003,3.84,14928,690,Eschaton,1
565,Fearless,Jack Campbell,2007,3.99,20778,690,The Lost Fleet,2
566,School's Out—Forever,James Patterson,2006,4.14,117616,690,Maximum Ride,2
567,Neverwhere,Neil Gaiman,1996,4.17,486016,687,London Below,1
568,Galápagos,Kurt Vonnegut Jr.,1985,3.87,75489,687,,
569,The Neutronium Alchemist,Peter F. Hamilton,1997,4.26,18725,686,Night's Dawn,2
570,Flag in Exile,David Weber,1995,4.22,18334,685,Honor Harrington,5
571,The Stars Are Legion,Kameron Hurley,2017,3.65,9072,683,,
572,Battle Royale,Koushun Takami,1999,4.23,69298,683,,
573,Cytonic,Brandon Sanderson,2021,4.11,28625,680,Skyward,3
574,The Drawing of the Three,Stephen King,1987,4.23,240129,678,The Dark Tower,2
575,The Forge of God,Greg Bear,1987,3.87,14676,678,Forge of God,1
576,Into the Drowning Deep,Mira Grant,2017,3.99,24682,677,Rolling in the Deep,1
577,House Harkonnen,Brian Herbert,2000,3.71,16845,677,Prelude to Dune,2
578,The Amber Spyglass,Philip Pullman,2000,4.1,337445,677,His Dark Materials,3
579,The Naked God,Peter F. Hamilton,1999,4.22,18641,677,Night's Dawn,3
580,The Fated Sky,Mary Robinette Kowal,2018,4.29,11844,671,Lady Astronaut Universe,2
581,The Evolutionary Void,Peter F. Hamilton,2009,4.28,21014,669,,
582,All Our Yesterdays,Cristin Terrill,2013,4.02,23008,668,,
583,The Gone World,Tom Sweterlitsch,2018,3.94,15088,667,,
584,Player Piano,Kurt Vonnegut Jr.,1952,3.88,51681,667,,
585,The Cyberiad,Stanisław Lem,1965,4.17,11594,666,,
586,The City We Became,N.K. Jemisin,2020,3.91,52740,664,Great Cities,1
587,The Light Brigade,Kameron Hurley,2019,3.91,9014,661,,
588,Dark Age,Pierce Brown,2019,4.43,36834,661,Red Rising Saga,5
589,Star Maker,Olaf Stapledon,1937,3.92,7279,661,,
590,The Female Man,Joanna Russ,1975,3.49,6862,661,,
591,Tunnel in the Sky,Robert A. Heinlein,1955,3.95,12832,660,,
592,The Luminous Dead,Caitlin  Starling,2019,3.7,10743,659,,
593,The Salmon of Doubt,Douglas Adams,2002,3.93,28316,658,Dirk Gently,3
594,The Atlantis Gene,A.G. Riddle,2013,3.77,73958,657,The Origin Mystery,1
595,The Diabolic,S.J. Kincaid,2016,4.05,23320,656,The Diabolic,1
596,Cordelia's Honor,Lois McMaster Bujold,1996,4.33,13604,656,Vorkosigan Omnibus,1
597,Found,Margaret Peterson Haddix,2008,3.98,38930,655,The Missing,1
598,This Shattered World,Amie Kaufman,2014,3.95,20041,652,Starbound,2
599,UnWholly,Neal Shusterman,2012,4.25,54355,652,Unwind,2
600,Y The Last Man Vol. 1:Unmanned,Brian K. Vaughan,2003,4.08,111945,651,,
601,The Stainless Steel Rat,Harry Harrison,1961,3.93,14867,650,Stainless Steel Rat,4
602,Honor Among Enemies,David Weber,1996,4.27,17268,645,Honor Harrington,6
603,Shadows in Flight,Orson Scott Card,2011,3.81,18540,643,The Shadow Series,5
604,The Last Policeman,Ben H. Winters,2012,3.78,31086,643,The Last Policeman,1
605,The Ministry for the Future,Kim Stanley Robinson,2020,3.89,17852,641,,
606,Incarceron,Catherine Fisher,2007,3.64,60057,641,Incarceron,1
607,The Memory of Earth,Orson Scott Card,1992,3.58,15901,641,Homecoming,1
608,Crystal Singer,Anne McCaffrey,1982,4.12,20022,641,Crystal Singer,1
609,Methuselah's Children,Robert A. Heinlein,1958,4.0,19727,640,,
610,Hominids,Robert J. Sawyer,2002,3.79,12235,640,Neanderthal Parallax,1
611,The Space Merchants,Frederik Pohl,1952,3.85,9849,640,The Space Merchants,1
612,"Paper Girls, Volume 2",Brian K. Vaughan,2016,4.12,28802,639,,
613,Armor,John Steakley,1984,4.12,18116,639,,
614,The One,John Marrs,2016,4.12,108676,637,,
615,Starflight,Melissa Landers,2016,3.85,12563,637,Starflight,1
616,The White Mountains,John Christopher,1967,3.95,12734,636,The Tripods,1
617,Martian Time-Slip,Philip K. Dick,1964,3.77,11923,636,,
618,The Loneliest Girl in the Universe,Lauren   James,2018,3.76,18674,634,,
619,The Rowan,Anne McCaffrey,1990,4.05,16712,633,The Tower and the Hive,1
620,Rama Revealed,Arthur C. Clarke,1993,3.81,15855,632,Rama,4
621,The Waste Lands,Stephen King,1991,4.24,204824,630,The Dark Tower,3
622,Bloodline,Claudia Gray,2016,4.08,22172,629,,
623,Down and Out in the Magic Kingdom,Cory Doctorow,2003,3.56,12789,629,,
624,The Bone Clocks,David Mitchell,2014,3.84,91240,628,,
625,House Corrino,Brian Herbert,2001,3.72,15866,627,Prelude to Dune,3
626,Blue Remembered Earth,Alastair Reynolds,2012,3.88,10820,627,Poseidon's Children,1
627,Dragondrums,Anne McCaffrey,1979,4.09,34272,624,Harper Hall,3
628,Invasion of the Body Snatchers,Jack Finney,1955,3.9,21011,624,,
629,Where Late the Sweet Birds Sang,Kate Wilhelm,1976,3.85,9597,624,,
630,Shards of Earth,Adrian Tchaikovsky,2021,4.21,11862,623,The Final Architecture,1
631,Aurora Burning,Amie Kaufman,2020,4.29,28804,623,The Aurora Cycle,2
632,Behemoth,Scott Westerfeld,2010,4.17,38563,622,Leviathan,2
633,The Engines of God,Jack McDevitt,1994,3.83,9031,622,The Academy,1
634,On the Beach,Nevil Shute,1957,3.96,40353,622,,
635,Crosstalk,Connie Willis,2016,3.54,11209,620,,
636,The Snow Queen,Joan D. Vinge,1980,3.95,12219,620,The Snow Queen Cycle,1
637,The Number of the Beast,Robert A. Heinlein,1980,3.61,12250,620,,
638,Courageous,Jack Campbell,2007,3.99,17027,614,The Lost Fleet,3
639,Defy the Stars,Claudia Gray,2017,4.03,11782,614,Constellation,1
640,In Enemy Hands,David Weber,1997,4.24,15817,611,Honor Harrington,7
641,How Long 'til Black Future Month?,N.K. Jemisin,2018,4.29,14459,610,,
642,How to Stop Time,Matt Haig,2017,3.85,124327,609,,
643,Ice Planet Barbarians,Ruby Dixon,2015,3.68,76236,609,Ice Planet Barbarians,1
644,The Machine Stops,E.M. Forster,1909,4.07,13660,608,,
645,The Eye of Minds,James Dashner,2013,3.85,39254,603,The Mortality Doctrine,1
646,Diaspora,Greg Egan,1997,4.13,8296,603,,
647,Job: A Comedy of Justice,Robert A. Heinlein,1984,3.78,17465,603,,
648,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,1990,4.25,651848,601,,
649,Saving the World and Other Extreme Sports,James Patterson,2007,4.14,91144,599,Maximum Ride,3
650,Ignite Me,Tahereh Mafi,2014,4.45,265316,598,Shatter Me,3
651,Time Out of Joint,Philip K. Dick,1959,3.86,12841,597,,
652,First Meetings in Ender's Universe,Orson Scott Card,1999,3.84,13044,596,Ender's Saga,0.5
653,Sea of Rust,C. Robert Cargill,2017,4.07,10458,596,Sea of Rust,1
654,The Inverted World,Christopher Priest,1974,3.92,7931,595,,
655,I Will Fear No Evil,Robert A. Heinlein,1970,3.67,11443,595,,
656,Farnham's Freehold,Robert A. Heinlein,1964,3.57,11773,594,,
657,New Moon,Ian McDonald,2015,3.74,7370,593,Luna,1
658,Borders of Infinity,Lois McMaster Bujold,1989,4.25,10091,591,Vorkosigan Saga [Publication] ,5.1
659,Lost Stars,Claudia Gray,2015,4.28,24793,589,,
660,American War,Omar El Akkad,2017,3.79,34624,588,,
661,River of Blue Fire,Tad Williams,1998,4.03,15513,587,Otherland,2
662,Beggars in Spain,Nancy Kress,1993,3.93,7865,586,Sleepless,1
663,"Home: Habitat, Range, Niche, Territory",Martha Wells,2020,4.07,10970,585,The Murderbot Diaries,4.5
664,The Bicentennial Man and Other Stories,Isaac Asimov,1976,4.13,13471,585,,
665,Dandelion Wine,Ray Bradbury,1957,4.08,63720,585,Green Town,1
666,"Saga, Volume 9",Brian K. Vaughan,2018,4.57,27694,584,,
667,Time and Again,Jack Finney,1970,3.94,21182,580,Time,1
668,Hunters of Dune,Brian Herbert,2006,3.67,15056,578,Dune,7
669,The Mysterious Island,Jules Verne,1875,4.12,49651,577,,
670,Wires and Nerve,Marissa Meyer,2017,4.13,24513,575,Wires and Nerve,1
671,Those Left Behind,Joss Whedon,2006,4.04,27087,575,Serenity ,1
672,Against a Dark Background,Iain M. Banks,1993,4.11,15436,574,,
673,They Both Die at the End,Adam Silvera,2017,3.84,520098,572,,
674,Agent to the Stars,John Scalzi,2004,3.9,19945,571,,
675,Planet of Exile,Ursula K. Le Guin,1966,3.7,9655,571,Hainish Cycle,2
676,A Beautifully Foolish Endeavor,Hank Green,2020,4.25,36553,570,The Carls,2
677,Polaris Rising,Jessie Mihalik,2019,3.92,10510,570,Consortium Rebellion,1
678,Son,Lois Lowry,2012,3.99,93648,570,The Giver,4
679,Robot Dreams,Isaac Asimov,1986,4.16,10864,568,Robot,0.4
680,Wanderers,Chuck Wendig,2019,3.97,20291,568,,
681,Vox,Christina Dalcher,2018,3.54,69520,568,,
682,The Man Who Fell to Earth,Walter Tevis,1963,4.06,10756,567,,
683,Echoes of Honor,David Weber,1998,4.24,14637,567,Honor Harrington,8
684,A Game of Thrones,George R.R. Martin,1996,4.44,2280917,566,A Song of Ice and Fire,1
685,All the Weyrs of Pern,Anne McCaffrey,1991,4.2,24781,566,Pern,11
686,Sandworms of Dune,Brian Herbert,2007,3.67,12817,566,Dune,8
687,The Vital Abyss,James S.A. Corey,2015,3.89,13693,565,The Expanse,5.5
688,Dead Silence,S.A. Barnes,2022,3.82,9769,564,,
689,On a Sunbeam,Tillie Walden,2018,4.3,22339,562,,
690,The Heart Goes Last,Margaret Atwood,2015,3.39,62389,562,,
691,Never Fade,Alexandra Bracken,2013,4.22,89957,562,The Darkest Minds,2
692,The Bone Season,Samantha Shannon,2013,3.79,71725,561,The Bone Season,1
693,The Machine Crusade,Brian Herbert,2003,3.78,14517,561,Legends of Dune,2
694,Halting State,Charles Stross,2007,3.79,11817,560,Halting State,1
695,The Fall of Five,Pittacus Lore,2013,4.22,63808,559,Lorien Legacies,4
696,Wayward,Blake Crouch,2013,4.14,57905,558,Wayward Pines,2
697,The Many-Coloured Land,Julian  May,1981,4.07,12167,558,Saga of Pliocene Exile,1
698,Onyx,Jennifer L. Armentrout,2012,4.25,171766,557,Lux,2
699,The Testing,Joelle Charbonneau,2013,4.05,69116,556,The Testing,1
700,The Warlord of Mars,Edgar Rice Burroughs,1919,3.87,13712,555,Barsoom,3
701,The Tommyknockers,Stephen King,1987,3.58,140422,555,,
702,Gridlinked,Neal Asher,2001,3.97,11094,555,Agent Cormac ,1
703,Star Wars: A New Hope,George Lucas,1976,4.05,15925,554,Star Wars: Novelizations,4
704,Tin Stars,Jeff Lemire,2015,4.09,18095,554,Descender,1
705,A Fall of Moondust,Arthur C. Clarke,1961,3.88,9750,553,,
706,Hunger,Michael  Grant,2009,4.02,82330,553,Gone,2
707,Firestarter,Stephen King,1980,3.9,211663,553,,
708,Ashes of Victory,David Weber,2000,4.18,13992,553,Honor Harrington,9
709,The Force Awakens,Alan Dean Foster,2015,3.72,17251,552,Star Wars: Novelizations,7
710,The Hobbit,J.R.R. Tolkien,1937,4.28,3483063,552,,
711,Revenger,Alastair Reynolds,2016,3.81,10730,551,Revenger ,1
