,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
77,Cress,Marissa Meyer,2014,4.42,332262,3426,The Lunar Chronicles,3
78,The 5th Wave,Rick Yancey,2013,4.02,433515,3405,The 5th Wave,1
79,Wool Omnibus,Hugh Howey,2012,4.21,174685,3394,Silo,1
80,Consider Phlebas,Iain M. Banks,1987,3.86,83832,3346,Culture,1
81,Sleeping Giants,Sylvain Neuvel,2016,3.83,82889,3326,Themis Files,1
82,Twenty Thousand Leagues Under the Sea,Jules Verne,1870,3.89,232736,3302,,
83,This is How You Lose the Time War,Amal El-Mohtar,2019,3.96,101160,3292,,
84,Mostly Harmless,Douglas Adams,1992,3.97,121849,3268,Hitchhiker's Guide to the Galaxy,5
85,Allegiant,Veronica Roth,2013,3.61,962640,3253,Divergent,3
86,The Andromeda Strain,Michael Crichton,1969,3.91,242679,3237,Andromeda,1
87,Cat's Cradle,Kurt Vonnegut Jr.,1963,4.16,373430,3223,,
88,Children of Time,Adrian Tchaikovsky,2015,4.29,86059,3222,Children of Time,1
89,Abaddon's Gate,James S.A. Corey,2013,4.26,110084,3180,The Expanse,3
90,Solaris,Stanisław Lem,1961,3.99,90292,3141,,
91,Contact,Carl Sagan,1985,4.14,134697,3138,,
92,Uglies,Scott Westerfeld,2005,3.85,622990,3136,Uglies,1
93,Binti,Nnedi Okorafor,2015,3.89,63813,3131,Binti,1
94,Red Mars,Kim Stanley Robinson,1992,3.86,75897,3125,Mars Trilogy,1
95,Stories of Your Life and Others,Ted Chiang,2002,4.25,86744,3092,,
96,The Road,Cormac McCarthy,2006,3.98,812179,3084,,
97,Foundation's Edge,Isaac Asimov,1982,4.16,81384,3058,Foundation,4
98,Kindred,Octavia E. Butler,1979,4.29,153340,3041,,
99,Golden Son,Pierce Brown,2015,4.44,186822,3034,Red Rising Saga,2
100,Seveneves,Neal Stephenson,2015,3.99,107384,3032,,
101,A Clockwork Orange,Anthony Burgess,1962,4.0,665672,3001,,
102,The Fall of Hyperion,Dan Simmons,1990,4.22,111344,2999,Hyperion Cantos,2
103,God Emperor of Dune,Frank Herbert,1981,3.87,90461,2985,Dune,4
104,Ubik,Philip K. Dick,1969,4.1,97668,2970,,
105,Parable of the Sower,Octavia E. Butler,1993,4.21,121587,2895,Earthseed,1
106,Rogue Protocol,Martha Wells,2018,4.26,72032,2877,The Murderbot Diaries,3
107,The Windup Girl,Paolo Bacigalupi,2009,3.74,72162,2863,,
108,Journey to the Center of the Earth,Jules Verne,1864,3.86,178955,2858,,
109,World War Z: An Oral History of the Zombie War,Max Brooks,2006,4.01,489745,2799,,
110,The Island of Dr. Moreau,H.G. Wells,1896,3.73,109641,2780,,
111,Children of the Mind,Orson Scott Card,1996,3.77,103402,2780,Ender's Saga,4
112,Skyward,Brandon Sanderson,2018,4.5,108822,2753,Skyward,1
113,Winter,Marissa Meyer,2015,4.43,246122,2739,The Lunar Chronicles,4
114,Cloud Atlas,David Mitchell,2004,4.01,236259,2738,,
115,The Day of the Triffids,John Wyndham,1951,4.01,99860,2712,,
116,The Lathe of Heaven,Ursula K. Le Guin,1971,4.12,63840,2684,,
117,The Time Traveler's Wife,Audrey Niffenegger,2004,3.99,1704701,2675,,
118,Exit Strategy,Martha Wells,2018,4.39,64621,2635,The Murderbot Diaries,4
119,The Scorch Trials,James Dashner,2010,3.9,527229,2634,The Maze Runner,2
